FID,REPORTDATE,BLOCKADD,OFFENSE
402,2008-01-02 00:00:00,900 Block Baseline Rd,Trespassing
403,2011-12-02 00:00:00,1000 Block Canyon Blvd,Trespassing
404,2011-08-11 00:00:00,2800 Block Kalmia Ave,Burglary
405,2010-05-25 00:00:00,700 Block University Ave,Theft From Vehicle
406,2009-10-11 00:00:00,900 Block 16th St,Theft From Vehicle
407,2010-04-25 00:00:00,1800 Block Baseline Rd,Vandalism
408,2010-09-06 00:00:00,900 Block 9th St,Vandalism
409,2012-04-06 00:00:00,4800 Block Kings Ridge Bv,Sex Assault
410,2010-08-29 00:00:00,300 Block Auburn Ave,Incident
411,2009-12-30 00:00:00,1600 Block Pearl St,Vandalism
412,2009-02-21 00:00:00,Cripple Creek Trl & Lehigh St,Vandalism
413,2011-10-12 00:00:00,1000 Block 12th St,Vandalism
414,2009-12-18 00:00:00,1000 Block Adams Cr,Vandalism
415,2009-05-28 00:00:00,3000 Block Center Green Dr,Vandalism
